text,condition,severity_level,severity_score,language
کچھ دنوں سے لگتا ہے وقت کم پڑ رہا ہے,Stress,medium,62.5,ur
for some reason i cant take it anymore because i see no reason to live,Depression,high,77.0,en
کچھ دنوں سے لگتا ہے کچھ برا ہونے والا ہے,Anxiety,medium,48.2,ur
in dino bohot thakawat mehsoos hoti hai,Stress,medium,47.7,roman
thori udaasi hai aur aaj mood theek nahi,Depression,low,20.8,roman
recently i get short of breath when nervous,Anxiety,medium,61.4,en
my heart pounds so hard i feel like im dying so i am afraid of everything now,Anxiety,high,73.2,en
مجھے کل کی تھوڑی فکر ہے اور امتحان کی تھوڑی پریشانی ہے,Anxiety,low,26.2,ur
آج کل اب اور برداشت نہیں ہوتا,Stress,high,76.0,ur
work is a bit heavy today and today was quite busy,Stress,low,23.7,en
in dino main bilkul beqaboo ho jata hoon kyunke khauf ki wajah se ghar se nahi nikal sakta,Anxiety,high,87.9,roman
kisi se milne ka dil nahi karta,Depression,medium,53.2,roman
main thora udaas hoon,Depression,low,26.4,roman
these days everything feels dark and hopeless,Depression,high,73.6,en
these days i feel exhausted all the time,Stress,medium,62.0,en
lately everything in my life is falling apart and problems are closing in from every side,Stress,high,82.9,en
اکثر گھبراہٹ میں ہاتھ پاؤں سن ہو جاتے ہیں کیونکہ خوف کی وجہ سے گھر سے نہیں نکل سکتا,Anxiety,high,75.0,ur
often feeling somewhat lonely so today feels grey,Depression,low,20.2,en
har taraf andhera lagta hai,Depression,high,73.2,roman
pata nahi kyun sab kuch ek saath sambhalna mushkil ho raha hai,Stress,medium,51.8,roman
دماغ میں فکریں رکتی ہی نہیں اس لیے ہاتھ کانپنے لگتے ہیں,Anxiety,medium,51.9,ur
aksar ab aur bardasht nahi hota,Depression,high,73.0,roman
مجھے لگتا ہے میں سب کے لیے بوجھ ہوں,Depression,high,75.8,ur
aaj kal mujhe jeene ka koi maqsad nazar nahi aata,Depression,high,82.0,roman
halki si ghabrahat ho rahi hai,Anxiety,low,17.6,roman
sach kahun to thori udaasi hai aur khud ko akela mehsoos kar raha hoon,Depression,low,24.3,roman
کام کی فکر میں نیند خراب رہتی ہے کیونکہ بہت زیادہ تھکاوٹ محسوس ہوتی ہے,Stress,medium,58.8,ur
"in dino bohot thakawat mehsoos hoti hai, ghar aur kaam dono ka dabao hai",Stress,medium,60.7,roman
تھوڑا نروس محسوس کر رہا ہوں,Anxiety,low,25.4,ur
often i cant do this anymore,Stress,high,84.0,en
"i get short of breath when nervous, i feel anxious all the time",Anxiety,medium,47.9,en
main har waqt pareshan rehta hoon kyunke fikron ki wajah se neend nahi aati,Anxiety,medium,62.1,roman
pata nahi kyun ghar aur kaam dono ka dabao hai is liye bohot thakawat mehsoos hoti hai,Stress,medium,58.3,roman
پتا نہیں کیوں دل بہت زور سے دھڑکتا ہے,Anxiety,medium,46.8,ur
کام کی فکر میں نیند خراب رہتی ہے کیونکہ گھر اور کام دونوں کا دباؤ ہے,Stress,medium,48.3,ur
aksar thora dabao mehsoos ho raha hai,Stress,low,19.6,roman
آج موڈ ٹھیک نہیں,Depression,low,31.0,ur
بس تھوڑا نروس محسوس کر رہا ہوں کیونکہ امتحان کی تھوڑی پریشانی ہے,Anxiety,low,22.2,ur
aksar dil itna tez dharakta hai ke lagta hai mar jaunga,Anxiety,high,78.1,roman
i feel like something bad will happen,Anxiety,medium,61.1,en
in dino saans phoolne lagti hai,Anxiety,medium,61.0,roman
i cant sleep at night,Depression,medium,51.4,en
often im at my breaking point,Stress,high,76.6,en
recently i get panic attacks regularly and i am afraid of everything now,Anxiety,high,84.6,en
سچ کہوں تو روزانہ رونے کو دل کرتا ہے,Depression,medium,52.4,ur
for some reason a little worn out from work,Stress,low,21.5,en
these days i dont feel like meeting anyone,Depression,medium,54.1,en
آج کل دل تھوڑا بے چین ہے، ہلکی سی گھبراہٹ ہو رہی ہے,Anxiety,low,19.0,ur
fikron ki wajah se neend nahi aati,Anxiety,medium,59.5,roman
aaj kal deadline qareeb aa rahi hai,Stress,low,22.4,roman
these days i get panic attacks regularly,Anxiety,high,73.7,en
"lagta hai kuch bura hone wala hai, fikron ki wajah se neend nahi aati",Anxiety,medium,54.0,roman
مجھے جینے کا کوئی مقصد نظر نہیں آتا کیونکہ میں اس زندگی سے تھک چکا ہوں,Depression,high,84.1,ur
honestly slightly uneasy today,Anxiety,low,18.8,en
these days i am afraid of everything now,Anxiety,high,85.0,en
lately i have constant headaches,Stress,medium,63.5,en
"a bit nervous about the exam, feeling a little on edge",Anxiety,low,23.5,en
pata nahi kyun main sab ke liye bojh hoon,Depression,high,84.6,roman
worry keeps me up at night because i feel like something bad will happen,Anxiety,medium,49.4,en
raat ko neend nahi aati,Depression,medium,53.6,roman
these days i live with constant fear so i feel like something bad will happen,Anxiety,medium,58.9,en
"my heart pounds so hard i feel like im dying, i am afraid of everything now",Anxiety,high,85.5,en
khud ko akela mehsoos kar raha hoon,Depression,low,24.3,roman
kisi kaam mein dil nahi lag raha,Depression,low,32.7,roman
آج خوشی محسوس نہیں ہو رہی اور آج موڈ ٹھیک نہیں,Depression,low,16.9,ur
"lately i get short of breath when nervous, my heart races constantly",Anxiety,medium,46.7,en
پتا نہیں کیوں خوف کی وجہ سے گھر سے نہیں نکل سکتا اس لیے دل اتنا تیز دھڑکتا ہے کہ لگتا ہے مر جاؤں گا,Anxiety,high,85.1,ur
aksar mujhe kal ki thori fikr hai is liye dil thora bechain hai,Anxiety,low,33.0,roman
lately i get panic attacks regularly,Anxiety,high,77.4,en
کچھ کھٹکا سا لگا ہوا ہے,Anxiety,low,16.2,ur
raat ko neend nahi aati aur har cheez bemaani lagti hai,Depression,medium,60.8,roman
کچھ دنوں سے کام سے تھوڑا تھکا ہوا ہوں,Stress,low,28.5,ur
aaj kal mujhe panic attack aate hain,Anxiety,high,73.9,roman
aaj kal khud ko akela mehsoos kar raha hoon,Depression,low,24.8,roman
ہر چیز سے ڈر لگنے لگا ہے، گھبراہٹ میں ہاتھ پاؤں سن ہو جاتے ہیں,Anxiety,high,75.9,ur
these days i have lost my appetite,Depression,medium,46.5,en
aaj kal halki si ghabrahat ho rahi hai,Anxiety,low,17.4,roman
aaj kal sab kuch ek saath sambhalna mushkil ho raha hai kyunke kaam ka bojh bohot barh gaya hai,Stress,medium,63.1,roman
aaj kaam kuch zyada hai,Stress,low,30.2,roman
i live with constant fear,Anxiety,medium,50.6,en
aaj kal har taraf se masail ghere hue hain,Stress,high,85.2,roman
کام سے تھوڑا تھکا ہوا ہوں کیونکہ آج کا دن کافی مصروف تھا,Stress,low,17.4,ur
sach kahun to dil bohot zor se dharakta hai,Anxiety,medium,60.4,roman
i feel like a burden to everyone,Depression,high,77.0,en
میں بالکل بے قابو ہو جاتا ہوں اس لیے گھبراہٹ میں ہاتھ پاؤں سن ہو جاتے ہیں,Anxiety,high,71.9,ur
honestly a little worn out from work because a deadline is coming up,Stress,low,20.8,en
lately i cant do this anymore,Stress,high,85.9,en
deadline qareeb aa rahi hai,Stress,low,33.2,roman
honestly problems are closing in from every side,Stress,high,85.6,en
میں بالکل بے قابو ہو جاتا ہوں اس لیے مجھے پینک اٹیک آتے ہیں,Anxiety,high,81.7,ur
آج کا دن کافی مصروف تھا اس لیے آج کام کچھ زیادہ ہے,Stress,low,24.5,ur
worry keeps me up at night,Anxiety,medium,50.2,en
these days feeling a little on edge because a bit nervous about the exam,Anxiety,low,21.5,en
often its hard to manage everything at once,Stress,medium,51.4,en
"khane ka bhi dil nahi karta, kisi se milne ka dil nahi karta",Depression,medium,59.0,roman
dil thora bechain hai is liye exam ki thori pareshani hai,Anxiety,low,33.2,roman
پتا نہیں کیوں سب کچھ ایک ساتھ سنبھالنا مشکل ہو رہا ہے، بہت زیادہ تھکاوٹ محسوس ہوتی ہے,Stress,medium,56.2,ur
in dino main har waqt pareshan rehta hoon,Anxiety,medium,46.4,roman
my heart races constantly,Anxiety,medium,58.8,en
ab aur bardasht nahi hota kyunke har taraf andhera lagta hai,Depression,high,85.4,roman
کام کی فکر میں نیند خراب رہتی ہے کیونکہ سب کچھ ایک ساتھ سنبھالنا مشکل ہو رہا ہے,Stress,medium,60.0,ur
پتا نہیں کیوں ایسا لگتا ہے میں بکھرنے والا ہوں,Stress,high,72.3,ur
کچھ دنوں سے دل تھوڑا بھاری ہے اس لیے آج موڈ ٹھیک نہیں,Depression,low,33.4,ur
honestly i feel exhausted all the time,Stress,medium,63.8,en
mujhe panic attack aate hain,Anxiety,high,72.9,roman
i am completely broken,Stress,high,72.2,en
"feeling a little on edge, a bit nervous about the exam",Anxiety,low,22.5,en
not really in the mood for anything because feeling a little empty,Depression,low,32.0,en
"main bilkul toot chuka hoon, meri zindagi mein sab kuch bikhar raha hai",Stress,high,76.9,roman
for some reason i am so tired of this life,Depression,high,74.6,en
i cry almost every day so i have lost my appetite,Depression,medium,55.7,en
main bilkul beqaboo ho jata hoon,Anxiety,high,80.1,roman
honestly im a little worried about tomorrow,Anxiety,low,19.7,en
ہاتھ کانپنے لگتے ہیں,Anxiety,medium,64.0,ur
آج کل کاش میں یہاں نہ ہوتا,Depression,high,73.8,ur
دل اداس ہے مگر سنبھل جاؤں گا کیونکہ آج خوشی محسوس نہیں ہو رہی,Depression,low,26.4,ur
ab mujhse kuch nahi hota,Stress,high,75.7,roman
سچ کہوں تو زندگی میں خوشی نہیں رہی,Depression,medium,60.3,ur
"often slightly uneasy today, feeling slightly anxious",Anxiety,low,26.5,en
"i get panic attacks regularly, my heart pounds so hard i feel like im dying",Anxiety,high,84.9,en
lately problems are closing in from every side because i am completely broken,Stress,high,75.3,en
گھر اور کام دونوں کا دباؤ ہے,Stress,medium,63.4,ur
کچھ کھٹکا سا لگا ہوا ہے اور امتحان کی تھوڑی پریشانی ہے,Anxiety,low,30.3,ur
honestly i get short of breath when nervous,Anxiety,medium,48.0,en
میں ہر وقت پریشان رہتا ہوں,Anxiety,medium,63.1,ur
recently a deadline is coming up,Stress,low,17.4,en
lately feeling slightly anxious and feeling a little on edge,Anxiety,low,31.6,en
kuch dino se mujhe kal ki thori fikr hai,Anxiety,low,22.7,roman
aksar har taraf andhera lagta hai,Depression,high,88.4,roman
sach kahun to kaash main yahan na hota kyunke har taraf andhera lagta hai,Depression,high,77.6,roman
روزانہ رونے کو دل کرتا ہے کیونکہ رات کو نیند نہیں آتی,Depression,medium,58.9,ur
i have lost my appetite,Depression,medium,59.9,en
کام سے تھوڑا تھکا ہوا ہوں,Stress,low,23.6,ur
فکروں کی وجہ سے نیند نہیں آتی اس لیے ہر وقت ڈر لگا رہتا ہے,Anxiety,medium,60.6,ur
رات کو نیند نہیں آتی اور زندگی میں خوشی نہیں رہی,Depression,medium,57.8,ur
lately im a little worried about tomorrow,Anxiety,low,33.1,en
i have been very sad for days so nothing brings me joy anymore,Depression,medium,59.4,en
slightly uneasy today,Anxiety,low,24.5,en
lately i see no reason to live,Depression,high,73.4,en
i get short of breath when nervous,Anxiety,medium,53.7,en
دل تھوڑا بے چین ہے، مجھے کل کی تھوڑی فکر ہے,Anxiety,low,21.6,ur
پتا نہیں کیوں تھوڑا نروس محسوس کر رہا ہوں، دل تھوڑا بے چین ہے,Anxiety,low,22.2,ur
recently feeling a bit down,Depression,low,30.1,en
کچھ دنوں سے آج کا دن کافی مصروف تھا اس لیے کام سے تھوڑا تھکا ہوا ہوں,Stress,low,20.2,ur
اکثر اب اور برداشت نہیں ہوتا,Depression,high,80.3,ur
these days a bit nervous about the exam and feeling a little on edge,Anxiety,low,29.4,en
for some reason a bit nervous about the exam,Anxiety,low,31.3,en
سچ کہوں تو اب اور برداشت نہیں ہوتا اور ہر طرف اندھیرا لگتا ہے,Depression,high,84.9,ur
aaj kal khauf ki wajah se ghar se nahi nikal sakta,Anxiety,high,80.4,roman
recently i wish i was not here because i am so tired of this life,Depression,high,74.6,en
thori udaasi hai,Depression,low,21.2,roman
aksar kaam ka bojh bohot barh gaya hai,Stress,medium,64.0,roman
اکثر آج کا دن کافی مصروف تھا,Stress,low,23.4,ur
دن بھر بستر سے نکلنے کا دل نہیں اور خود سے نفرت سی ہونے لگی ہے,Depression,medium,63.2,ur
کچھ کھٹکا سا لگا ہوا ہے اور تھوڑا نروس محسوس کر رہا ہوں,Anxiety,low,23.1,ur
everything in my life is falling apart,Stress,high,82.8,en
har waqt sar dard rehta hai aur bohot thakawat mehsoos hoti hai,Stress,medium,61.2,roman
کاش میں یہاں نہ ہوتا,Depression,high,81.9,ur
recently i have constant headaches,Stress,medium,47.4,en
aksar dil thora bechain hai,Anxiety,low,27.3,roman
ab aur bardasht nahi hota,Depression,high,72.9,roman
سچ کہوں تو سب کچھ بے سود لگتا ہے,Depression,high,86.9,ur
exam ki thori pareshani hai aur dil thora bechain hai,Anxiety,low,24.9,roman
ان دنوں آج خوشی محسوس نہیں ہو رہی,Depression,low,33.4,ur
آج کل اب اور برداشت نہیں ہوتا اس لیے میری زندگی میں سب کچھ بکھر رہا ہے,Stress,high,82.5,ur
sach kahun to ab aur bardasht nahi hota,Depression,high,77.8,roman
nothing brings me joy anymore,Depression,medium,49.9,en
بس کاش میں یہاں نہ ہوتا,Depression,high,78.3,ur
my workload has become too much,Stress,medium,47.8,en
آج کل ہر وقت سر درد رہتا ہے,Stress,medium,56.1,ur
for some reason not really in the mood for anything,Depression,low,20.5,en
i cry almost every day and i feel worthless,Depression,medium,46.8,en
بس دل اتنا تیز دھڑکتا ہے کہ لگتا ہے مر جاؤں گا، گھبراہٹ میں ہاتھ پاؤں سن ہو جاتے ہیں,Anxiety,high,80.5,ur
اکثر دل بہت زور سے دھڑکتا ہے کیونکہ ہاتھ کانپنے لگتے ہیں,Anxiety,medium,57.7,ur
honestly i wish i was not here,Depression,high,79.3,en
lately today was quite busy,Stress,low,29.0,en
lately i feel like a burden to everyone,Depression,high,85.6,en
sach kahun to dil thora bechain hai,Anxiety,low,23.5,roman
exam ki thori pareshani hai,Anxiety,low,24.8,roman
aaj kal ab aur bardasht nahi hota,Depression,high,86.8,roman
"main bilkul beqaboo ho jata hoon, khauf ki wajah se ghar se nahi nikal sakta",Anxiety,high,80.1,roman
کسی کام میں دل نہیں لگ رہا کیونکہ دل تھوڑا بھاری ہے,Depression,low,24.0,ur
pata nahi kyun ghar aur kaam dono ka dabao hai,Stress,medium,62.4,roman
aksar thori udaasi hai,Depression,low,16.3,roman
امتحان کی تھوڑی پریشانی ہے کیونکہ ہلکی سی گھبراہٹ ہو رہی ہے,Anxiety,low,28.3,ur
مجھے لگتا ہے میں کسی کام کا نہیں,Depression,medium,63.2,ur
"sach kahun to khud ko akela mehsoos kar raha hoon, dil thora bhari hai",Depression,low,19.2,roman
i cant take it anymore,Depression,high,80.6,en
aaj kal aaj mood theek nahi,Depression,low,30.9,roman
aaj kal khane ka bhi dil nahi karta,Depression,medium,50.6,roman
"aksar dil bohot zor se dharakta hai, main har waqt pareshan rehta hoon",Anxiety,medium,48.7,roman
my heart pounds so hard i feel like im dying,Anxiety,high,79.2,en
pata nahi kyun mujhe jeene ka koi maqsad nazar nahi aata,Depression,high,73.3,roman
بس کچھ کھٹکا سا لگا ہوا ہے,Anxiety,low,25.9,ur
pata nahi kyun har cheez bemaani lagti hai,Depression,medium,51.5,roman
"im at my breaking point, problems are closing in from every side",Stress,high,82.4,en
اکثر خوف کی وجہ سے گھر سے نہیں نکل سکتا,Anxiety,high,71.9,ur
sach kahun to saans phoolne lagti hai,Anxiety,medium,50.9,roman
often everything in my life is falling apart because i am completely broken,Stress,high,72.0,en
recently i get short of breath when nervous because i feel anxious all the time,Anxiety,medium,61.9,en
بس مجھے کل کی تھوڑی فکر ہے,Anxiety,low,22.6,ur
ہر طرف اندھیرا لگتا ہے,Depression,high,72.2,ur
in dino main bilkul beqaboo ho jata hoon,Anxiety,high,76.0,roman
امتحان کی تھوڑی پریشانی ہے,Anxiety,low,25.9,ur
honestly my workload has become too much,Stress,medium,56.1,en
"a deadline is coming up, work is a bit heavy today",Stress,low,19.4,en
دل تھوڑا بھاری ہے اور آج خوشی محسوس نہیں ہو رہی,Depression,low,21.6,ur
in dino thora dabao mehsoos ho raha hai,Stress,low,24.5,roman
everything feels dark and hopeless,Depression,high,84.4,en
aksar dil bohot zor se dharakta hai,Anxiety,medium,53.6,roman
worry about work ruins my sleep,Stress,medium,56.0,en
کچھ دنوں سے ہر وقت ڈر لگا رہتا ہے,Anxiety,medium,55.8,ur
کچھ دنوں سے تھوڑا دباؤ محسوس ہو رہا ہے,Stress,low,17.2,ur
recently feeling a little on edge,Anxiety,low,17.7,en
im at my breaking point because i am completely broken,Stress,high,85.0,en
آج کل لگتا ہے وقت کم پڑ رہا ہے اور سب کچھ ایک ساتھ سنبھالنا مشکل ہو رہا ہے,Stress,medium,58.5,ur
بس آج کام کچھ زیادہ ہے,Stress,low,29.8,ur
آج کل ڈیڈ لائن قریب آ رہی ہے کیونکہ کام سے تھوڑا تھکا ہوا ہوں,Stress,low,19.8,ur
"for some reason its hard to manage everything at once, my workload has become too much",Stress,medium,60.0,en
kuch dino se ab aur bardasht nahi hota kyunke har taraf andhera lagta hai,Depression,high,73.0,roman
کھانے کا بھی دل نہیں کرتا اس لیے زندگی میں خوشی نہیں رہی,Depression,medium,59.8,ur
بس تھوڑا نروس محسوس کر رہا ہوں,Anxiety,low,28.9,ur
in dino deadline qareeb aa rahi hai,Stress,low,23.6,roman
ان دنوں اب اور برداشت نہیں ہوتا,Stress,high,83.9,ur
kuch dino se rozana rone ko dil karta hai,Depression,medium,55.0,roman
for some reason my heart pounds so hard i feel like im dying,Anxiety,high,72.3,en
kuch dino se saans phoolne lagti hai,Anxiety,medium,48.0,roman
"i cry almost every day, i cant sleep at night",Depression,medium,48.5,en
lagta hai kuch bura hone wala hai,Anxiety,medium,57.7,roman
کسی سے ملنے کا دل نہیں کرتا,Depression,medium,59.6,ur
feeling a little empty,Depression,low,29.2,en
feeling slightly anxious so a bit nervous about the exam,Anxiety,low,16.4,en
main sab ke liye bojh hoon aur main is zindagi se thak chuka hoon,Depression,high,87.1,roman
these days i am completely broken,Stress,high,87.3,en
my mind never stops worrying so i get short of breath when nervous,Anxiety,medium,59.1,en
