text,condition,severity_level,severity_score,language
آج کل کام سے تھوڑا تھکا ہوا ہوں، آج کام کچھ زیادہ ہے,Stress,low,27.0,ur
sach kahun to exam ki thori pareshani hai,Anxiety,low,17.3,roman
i cant leave home because of fear,Anxiety,high,87.6,en
kaam ka bojh bohot barh gaya hai,Stress,medium,59.2,roman
بس آج کا دن کافی مصروف تھا,Stress,low,19.1,ur
main is zindagi se thak chuka hoon,Depression,high,84.8,roman
bohot thakawat mehsoos hoti hai is liye ghar aur kaam dono ka dabao hai,Stress,medium,50.8,roman
aaj kal har cheez se darr lagne laga hai,Anxiety,high,80.6,roman
دل اتنا تیز دھڑکتا ہے کہ لگتا ہے مر جاؤں گا اس لیے گھبراہٹ میں ہاتھ پاؤں سن ہو جاتے ہیں,Anxiety,high,74.7,ur
i feel exhausted all the time,Stress,medium,49.4,en
pata nahi kyun kaam se thora thaka hua hoon,Stress,low,28.8,roman
بس دماغ میں فکریں رکتی ہی نہیں اس لیے میں ہر وقت پریشان رہتا ہوں,Anxiety,medium,49.1,ur
بس ایسا لگتا ہے میں بکھرنے والا ہوں,Stress,high,76.4,ur
"i cant take it anymore, i see no reason to live",Depression,high,72.1,en
sach kahun to har waqt sar dard rehta hai kyunke kaam ka bojh bohot barh gaya hai,Stress,medium,56.7,roman
کسی کام میں دل نہیں لگ رہا، آج خوشی محسوس نہیں ہو رہی,Depression,low,18.6,ur
سچ کہوں تو آج کام کچھ زیادہ ہے، تھوڑا دباؤ محسوس ہو رہا ہے,Stress,low,22.1,ur
aksar main thora udaas hoon kyunke aaj mood theek nahi,Depression,low,29.5,roman
پتا نہیں کیوں میں ہر وقت پریشان رہتا ہوں,Anxiety,medium,56.0,ur
بس میں بالکل ٹوٹ چکا ہوں، اب مجھ سے کچھ نہیں ہوتا,Stress,high,79.2,ur
پتا نہیں کیوں بہت زیادہ تھکاوٹ محسوس ہوتی ہے,Stress,medium,51.7,ur
مجھے جینے کا کوئی مقصد نظر نہیں آتا,Depression,high,81.5,ur
often my mind never stops worrying,Anxiety,medium,57.7,en
honestly its hard to manage everything at once,Stress,medium,62.1,en
often my workload has become too much,Stress,medium,47.5,en
thori udaasi hai is liye dil thora bhari hai,Depression,low,27.9,roman
آج کام کچھ زیادہ ہے کیونکہ کام سے تھوڑا تھکا ہوا ہوں,Stress,low,30.7,ur
کچھ دنوں سے دل اتنا تیز دھڑکتا ہے کہ لگتا ہے مر جاؤں گا,Anxiety,high,76.6,ur
ہر وقت ڈر لگا رہتا ہے,Anxiety,medium,52.3,ur
in dino thora dabao mehsoos ho raha hai kyunke aaj kaam kuch zyada hai,Stress,low,26.8,roman
i cry almost every day,Depression,medium,47.4,en
sach kahun to raat ko neend nahi aati,Depression,medium,58.4,roman
sab kuch ek saath sambhalna mushkil ho raha hai aur ghar aur kaam dono ka dabao hai,Stress,medium,59.3,roman
aaj ka din kaafi masroof tha,Stress,low,31.5,roman
ان دنوں میں اس زندگی سے تھک چکا ہوں,Depression,high,86.4,ur
لگتا ہے وقت کم پڑ رہا ہے,Stress,medium,48.9,ur
اکثر جب گھبراتا ہوں تو سانس پھولنے لگتی ہے,Anxiety,medium,60.0,ur
feeling a little on edge,Anxiety,low,22.6,en
often i feel anxious all the time and i get short of breath when nervous,Anxiety,medium,48.3,en
in dino har cheez bemaani lagti hai,Depression,medium,49.0,roman
اکثر امتحان کی تھوڑی پریشانی ہے,Anxiety,low,16.9,ur
feeling a little on edge so im a little worried about tomorrow,Anxiety,low,21.5,en
ہر طرف سے مسائل گھیرے ہوئے ہیں,Stress,high,77.3,ur
i am so tired of this life because i feel like a burden to everyone,Depression,high,87.8,en
for some reason i have lost my appetite because nothing brings me joy anymore,Depression,medium,54.1,en
kai dino se bohot udaas hoon,Depression,medium,47.6,roman
often i feel like a burden to everyone,Depression,high,73.5,en
these days feeling a little empty,Depression,low,27.8,en
aksar thora nervous mehsoos kar raha hoon,Anxiety,low,32.1,roman
these days i live with constant fear,Anxiety,medium,59.6,en
تھوڑا دباؤ محسوس ہو رہا ہے اس لیے آج کام کچھ زیادہ ہے,Stress,low,26.4,ur
ہر وقت سر درد رہتا ہے,Stress,medium,62.6,ur
"aaj kaam kuch zyada hai, kaam se thora thaka hua hoon",Stress,low,31.0,roman
in dino ab mujhse kuch nahi hota,Stress,high,82.2,roman
lately my workload has become too much,Stress,medium,51.5,en
often worry about work ruins my sleep,Stress,medium,57.6,en
kuch dino se dil bohot zor se dharakta hai,Anxiety,medium,50.7,roman
فکروں کی وجہ سے نیند نہیں آتی اس لیے دماغ میں فکریں رکتی ہی نہیں,Anxiety,medium,56.3,ur
خود سے نفرت سی ہونے لگی ہے، رات کو نیند نہیں آتی,Depression,medium,61.7,ur
lately i get short of breath when nervous,Anxiety,medium,60.6,en
"i completely lose control, i get panic attacks regularly",Anxiety,high,82.3,en
اکثر تھوڑا دباؤ محسوس ہو رہا ہے کیونکہ ڈیڈ لائن قریب آ رہی ہے,Stress,low,26.9,ur
اکثر میں ہر وقت پریشان رہتا ہوں,Anxiety,medium,49.2,ur
ان دنوں روزانہ رونے کو دل کرتا ہے,Depression,medium,53.8,ur
recently feeling some pressure,Stress,low,32.9,en
زندگی میں خوشی نہیں رہی، کسی سے ملنے کا دل نہیں کرتا,Depression,medium,51.9,ur
تھوڑا دباؤ محسوس ہو رہا ہے اور آج کام کچھ زیادہ ہے,Stress,low,29.3,ur
lately a bit nervous about the exam,Anxiety,low,25.4,en
سچ کہوں تو تھوڑا نروس محسوس کر رہا ہوں,Anxiety,low,26.7,ur
dil thora bechain hai,Anxiety,low,25.0,roman
پتا نہیں کیوں دل تھوڑا بے چین ہے,Anxiety,low,29.3,ur
کچھ دنوں سے مجھے پینک اٹیک آتے ہیں,Anxiety,high,71.1,ur
i see no reason to live and i cant take it anymore,Depression,high,76.2,en
aksar mujhe jeene ka koi maqsad nazar nahi aata,Depression,high,81.4,roman
khauf ki wajah se ghar se nahi nikal sakta,Anxiety,high,80.0,roman
for some reason feeling slightly low,Depression,low,24.2,en
mujhe kal ki thori fikr hai kyunke halki si ghabrahat ho rahi hai,Anxiety,low,23.0,roman
these days my workload has become too much,Stress,medium,49.9,en
سچ کہوں تو ہر طرف سے مسائل گھیرے ہوئے ہیں,Stress,high,82.3,ur
a little worn out from work,Stress,low,21.3,en
rozana rone ko dil karta hai is liye har cheez bemaani lagti hai,Depression,medium,48.9,roman
zindagi mein khushi nahi rahi is liye kisi se milne ka dil nahi karta,Depression,medium,49.7,roman
پتا نہیں کیوں ہاتھ کانپنے لگتے ہیں، فکروں کی وجہ سے نیند نہیں آتی,Anxiety,medium,60.2,ur
مجھے جینے کا کوئی مقصد نظر نہیں آتا اس لیے سب کچھ بے سود لگتا ہے,Depression,high,85.8,ur
بس خوف کی وجہ سے گھر سے نہیں نکل سکتا,Anxiety,high,83.9,ur
often i cant leave home because of fear so i get panic attacks regularly,Anxiety,high,79.9,en
ان دنوں میری زندگی میں سب کچھ بکھر رہا ہے,Stress,high,84.1,ur
ان دنوں کام کی فکر میں نیند خراب رہتی ہے,Stress,medium,60.8,ur
دل اتنا تیز دھڑکتا ہے کہ لگتا ہے مر جاؤں گا اس لیے ہر چیز سے ڈر لگنے لگا ہے,Anxiety,high,86.0,ur
ان دنوں کام کا بوجھ بہت بڑھ گیا ہے,Stress,medium,55.5,ur
"raat ko neend nahi aati, kai dino se bohot udaas hoon",Depression,medium,61.1,roman
sach kahun to thora dabao mehsoos ho raha hai,Stress,low,25.1,roman
"these days feeling a little on edge, a bit nervous about the exam",Anxiety,low,24.3,en
its hard to manage everything at once so pressure from both home and work,Stress,medium,54.7,en
honestly nothing brings me joy anymore,Depression,medium,56.3,en
aaj kaam kuch zyada hai is liye aaj ka din kaafi masroof tha,Stress,low,28.7,roman
recently i cant do this anymore so problems are closing in from every side,Stress,high,76.7,en
کچھ دنوں سے جب گھبراتا ہوں تو سانس پھولنے لگتی ہے اور ہاتھ کانپنے لگتے ہیں,Anxiety,medium,58.4,ur
deadline qareeb aa rahi hai aur kaam se thora thaka hua hoon,Stress,low,30.0,roman
aksar mujhe panic attack aate hain,Anxiety,high,75.9,roman
ghar aur kaam dono ka dabao hai is liye bohot thakawat mehsoos hoti hai,Stress,medium,63.0,roman
میں اب اور نہیں چل سکتا,Depression,high,72.8,ur
آج خوشی محسوس نہیں ہو رہی اور دل بجھا بجھا سا ہے,Depression,low,16.9,ur
often not really in the mood for anything,Depression,low,24.2,en
آج کل آج کا دن کافی مصروف تھا,Stress,low,26.0,ur
exam ki thori pareshani hai is liye thora nervous mehsoos kar raha hoon,Anxiety,low,30.0,roman
meri zindagi mein sab kuch bikhar raha hai is liye ab aur bardasht nahi hota,Stress,high,88.6,roman
aksar har waqt sar dard rehta hai,Stress,medium,60.1,roman
"ab aur bardasht nahi hota, ab mujhse kuch nahi hota",Stress,high,83.5,roman
sach kahun to deadline qareeb aa rahi hai,Stress,low,20.2,roman
recently my heart pounds so hard i feel like im dying,Anxiety,high,82.5,en
میں اس زندگی سے تھک چکا ہوں,Depression,high,85.7,ur
often i cant take it anymore,Depression,high,80.3,en
honestly i have been very sad for days,Depression,medium,63.9,en
ab aur bardasht nahi hota kyunke har taraf se masail ghere hue hain,Stress,high,87.7,roman
khud bekaar lagta hoon,Depression,medium,60.4,roman
in dino har taraf se masail ghere hue hain,Stress,high,73.7,roman
recently pressure from both home and work,Stress,medium,62.4,en
تھوڑا دباؤ محسوس ہو رہا ہے، آج کا دن کافی مصروف تھا,Stress,low,29.4,ur
meri zindagi mein sab kuch bikhar raha hai,Stress,high,72.2,roman
thora nervous mehsoos kar raha hoon,Anxiety,low,29.1,roman
sach kahun to kaam se thora thaka hua hoon,Stress,low,18.8,roman
often i am completely broken because i cant do this anymore,Stress,high,79.6,en
i wish i was not here,Depression,high,76.3,en
بس ہر طرف سے مسائل گھیرے ہوئے ہیں,Stress,high,87.5,ur
aaj kal rozana rone ko dil karta hai,Depression,medium,53.9,roman
honestly everything feels dark and hopeless,Depression,high,86.3,en
مجھے کل کی تھوڑی فکر ہے,Anxiety,low,18.7,ur
میں بالکل ٹوٹ چکا ہوں,Stress,high,71.3,ur
sab kuch ek saath sambhalna mushkil ho raha hai is liye har waqt sar dard rehta hai,Stress,medium,50.1,roman
aaj kal deadline qareeb aa rahi hai is liye aaj ka din kaafi masroof tha,Stress,low,19.1,roman
بس خود سے نفرت سی ہونے لگی ہے، رات کو نیند نہیں آتی,Depression,medium,50.4,ur
thora nervous mehsoos kar raha hoon aur mujhe kal ki thori fikr hai,Anxiety,low,28.3,roman
"for some reason a deadline is coming up, feeling some pressure",Stress,low,33.1,en
in dino fikron ki wajah se neend nahi aati,Anxiety,medium,54.5,roman
pata nahi kyun main bilkul toot chuka hoon kyunke ab mujhse kuch nahi hota,Stress,high,84.9,roman
سچ کہوں تو آج کام کچھ زیادہ ہے,Stress,low,29.6,ur
ان دنوں آج کا دن کافی مصروف تھا کیونکہ تھوڑا دباؤ محسوس ہو رہا ہے,Stress,low,21.8,ur
sach kahun to khauf ki wajah se ghar se nahi nikal sakta aur mujhe panic attack aate hain,Anxiety,high,73.8,roman
"i feel worthless, i cant sleep at night",Depression,medium,56.1,en
سچ کہوں تو اب اور برداشت نہیں ہوتا,Stress,high,85.3,ur
pata nahi kyun main har waqt pareshan rehta hoon,Anxiety,medium,51.3,roman
ہر چیز سے ڈر لگنے لگا ہے,Anxiety,high,86.0,ur
honestly a deadline is coming up and a little worn out from work,Stress,low,29.9,en
pata nahi kyun aaj kaam kuch zyada hai,Stress,low,31.7,roman
اکثر گھبراہٹ میں ہاتھ پاؤں سن ہو جاتے ہیں,Anxiety,high,76.3,ur
aksar kaash main yahan na hota,Depression,high,71.1,roman
khane ka bhi dil nahi karta,Depression,medium,63.3,roman
تھوڑا دباؤ محسوس ہو رہا ہے,Stress,low,17.1,ur
thora dabao mehsoos ho raha hai,Stress,low,21.0,roman
recently everything in my life is falling apart,Stress,high,71.2,en
aksar ab aur bardasht nahi hota aur har taraf se masail ghere hue hain,Stress,high,88.1,roman
often everything feels dark and hopeless,Depression,high,71.8,en
lately i am so tired of this life,Depression,high,81.8,en
i am afraid of everything now,Anxiety,high,79.5,en
recently i am so tired of this life,Depression,high,77.9,en
my workload has become too much so worry about work ruins my sleep,Stress,medium,55.3,en
main sab ke liye bojh hoon kyunke main is zindagi se thak chuka hoon,Depression,high,74.7,roman
zindagi mein khushi nahi rahi,Depression,medium,55.1,roman
recently im at my breaking point,Stress,high,88.8,en
honestly i cant do this anymore,Stress,high,75.8,en
بہت زیادہ تھکاوٹ محسوس ہوتی ہے کیونکہ ہر وقت سر درد رہتا ہے,Stress,medium,53.5,ur
aaj kal exam ki thori pareshani hai,Anxiety,low,21.2,roman
آج کل دل تھوڑا بھاری ہے,Depression,low,25.7,ur
مجھے پینک اٹیک آتے ہیں,Anxiety,high,78.7,ur
فکروں کی وجہ سے نیند نہیں آتی,Anxiety,medium,59.5,ur
pata nahi kyun raat ko neend nahi aati aur rozana rone ko dil karta hai,Depression,medium,58.7,roman
feeling slightly anxious,Anxiety,low,21.8,en
ہر چیز سے ڈر لگنے لگا ہے اس لیے خوف کی وجہ سے گھر سے نہیں نکل سکتا,Anxiety,high,75.8,ur
"sach kahun to aaj ka din kaafi masroof tha, deadline qareeb aa rahi hai",Stress,low,30.9,roman
aaj kal meri zindagi mein sab kuch bikhar raha hai is liye ab mujhse kuch nahi hota,Stress,high,85.0,roman
ہر چیز سے ڈر لگنے لگا ہے اور خوف کی وجہ سے گھر سے نہیں نکل سکتا,Anxiety,high,81.1,ur
"in dino meri zindagi mein sab kuch bikhar raha hai, har taraf se masail ghere hue hain",Stress,high,79.3,roman
آج کل کسی کام میں دل نہیں لگ رہا,Depression,low,27.1,ur
"honestly feeling slightly low, not really in the mood for anything",Depression,low,21.9,en
"aaj ka din kaafi masroof tha, kaam se thora thaka hua hoon",Stress,low,24.3,roman
problems are closing in from every side,Stress,high,74.4,en
in dino aaj mood theek nahi,Depression,low,31.4,roman
har cheez bemaani lagti hai,Depression,medium,48.2,roman
main bilkul beqaboo ho jata hoon aur mujhe panic attack aate hain,Anxiety,high,86.3,roman
often problems are closing in from every side so everything in my life is falling apart,Stress,high,80.3,en
i have constant headaches,Stress,medium,59.2,en
اب اور برداشت نہیں ہوتا,Stress,high,83.7,ur
ان دنوں تھوڑا تنہا محسوس ہو رہا ہے,Depression,low,34.0,ur
pata nahi kyun raat ko neend nahi aati,Depression,medium,57.6,roman
آج کا دن کافی مصروف تھا,Stress,low,31.0,ur
dil bohot zor se dharakta hai aur har waqt darr laga rehta hai,Anxiety,medium,59.6,roman
ان دنوں کسی سے ملنے کا دل نہیں کرتا,Depression,medium,51.9,ur
aksar dil bujha bujha sa hai kyunke thori udaasi hai,Depression,low,30.6,roman
ab aur bardasht nahi hota is liye main bilkul toot chuka hoon,Stress,high,82.5,roman
ڈیڈ لائن قریب آ رہی ہے,Stress,low,21.1,ur
kuch dino se kisi se milne ka dil nahi karta,Depression,medium,52.7,roman
دل اداس ہے مگر سنبھل جاؤں گا، آج موڈ ٹھیک نہیں,Depression,low,32.1,ur
for some reason im at my breaking point,Stress,high,81.0,en
aaj kal bohot thakawat mehsoos hoti hai,Stress,medium,50.6,roman
گھبراہٹ میں ہاتھ پاؤں سن ہو جاتے ہیں، دل اتنا تیز دھڑکتا ہے کہ لگتا ہے مر جاؤں گا,Anxiety,high,76.0,ur
آج کل ہر طرف سے مسائل گھیرے ہوئے ہیں کیونکہ میں بالکل ٹوٹ چکا ہوں,Stress,high,72.8,ur
har taraf se masail ghere hue hain,Stress,high,74.0,roman
honestly feeling a bit down so i feel a little sad today,Depression,low,24.3,en
these days i get short of breath when nervous and i feel anxious all the time,Anxiety,medium,49.3,en
دل اتنا تیز دھڑکتا ہے کہ لگتا ہے مر جاؤں گا اور میں بالکل بے قابو ہو جاتا ہوں,Anxiety,high,72.0,ur
آج خوشی محسوس نہیں ہو رہی,Depression,low,32.6,ur
i completely lose control,Anxiety,high,75.2,en
recently feeling slightly low,Depression,low,28.9,en
kuch dino se khane ka bhi dil nahi karta,Depression,medium,54.2,roman
often everything in my life is falling apart,Stress,high,75.8,en
"these days i cant leave home because of fear, i am afraid of everything now",Anxiety,high,84.8,en
آج کل کئی دنوں سے بہت اداس ہوں اور ہر چیز بے معنی لگتی ہے,Depression,medium,63.6,ur
سچ کہوں تو جب گھبراتا ہوں تو سانس پھولنے لگتی ہے,Anxiety,medium,61.3,ur
"honestly i cant leave home because of fear, i completely lose control",Anxiety,high,71.8,en
feeling somewhat lonely,Depression,low,21.4,en
دماغ میں فکریں رکتی ہی نہیں، فکروں کی وجہ سے نیند نہیں آتی,Anxiety,medium,51.8,ur
main sab ke liye bojh hoon,Depression,high,84.3,roman
دل اداس ہے مگر سنبھل جاؤں گا,Depression,low,33.3,ur
کچھ کھویا کھویا محسوس کر رہا ہوں,Depression,low,18.8,ur
thora nervous mehsoos kar raha hoon kyunke dil thora bechain hai,Anxiety,low,25.3,roman
i get panic attacks regularly because i cant leave home because of fear,Anxiety,high,73.1,en
sach kahun to kisi se milne ka dil nahi karta,Depression,medium,50.4,roman
aaj kal aaj ka din kaafi masroof tha,Stress,low,23.8,roman
امتحان کی تھوڑی پریشانی ہے، دل تھوڑا بے چین ہے,Anxiety,low,27.7,ur
i feel like something bad will happen and i feel anxious all the time,Anxiety,medium,61.0,en
کچھ دنوں سے جب گھبراتا ہوں تو سانس پھولنے لگتی ہے کیونکہ میں ہر وقت پریشان رہتا ہوں,Anxiety,medium,58.6,ur
mujhe jeene ka koi maqsad nazar nahi aata,Depression,high,73.7,roman
pata nahi kyun lagta hai kuch bura hone wala hai,Anxiety,medium,57.3,roman
ab aur bardasht nahi hota kyunke main sab ke liye bojh hoon,Depression,high,82.0,roman
میں اب اور نہیں چل سکتا اور اب اور برداشت نہیں ہوتا,Depression,high,85.7,ur
دل بہت زور سے دھڑکتا ہے,Anxiety,medium,55.6,ur
rozana rone ko dil karta hai,Depression,medium,61.2,roman
"often feeling slightly anxious, a bit nervous about the exam",Anxiety,low,31.0,en
my mind never stops worrying and my heart races constantly,Anxiety,medium,62.2,en
کام کا بوجھ بہت بڑھ گیا ہے,Stress,medium,61.0,ur
lately slightly uneasy today,Anxiety,low,28.5,en
not really in the mood for anything,Depression,low,27.3,en
آج کل تھوڑا دباؤ محسوس ہو رہا ہے، آج کا دن کافی مصروف تھا,Stress,low,28.4,ur
my workload has become too much so i feel exhausted all the time,Stress,medium,55.6,en
har waqt darr laga rehta hai,Anxiety,medium,63.9,roman
main har waqt pareshan rehta hoon,Anxiety,medium,48.7,roman
